rc_number,sources,status
TN11R7875,renewbuy,deny
DL2CAX4641,renewbuy,deny
UP78FN6426,renewbuy,deny
TN02BK9012,renewbuy,deny
TN05AJ0268,renewbuy,deny
KA05AF6029,renewbuy,deny
KA03AG9917,renewbuy,deny
OD02BG6181,renewbuy,deny
JK01L7316,renewbuy,deny
JH04B7157,renewbuy,deny
BR04G6948,renewbuy,deny
BR1AJ5182,renewbuy,deny
OR08F3232,renewbuy,deny
OD02D3921,renewbuy,deny
TN05BQ9470,renewbuy,deny
TN12E8812,renewbuy,deny
UP78FN0788,renewbuy,deny
HR27D9813,renewbuy,deny
MH40AT8156,renewbuy,deny
KA03AG1249,renewbuy,deny
TN22CY0550,renewbuy,deny
HR26W4845,renewbuy,deny
KA51AD2533,renewbuy,deny
UP62AK9157,renewbuy,deny
TN02E9425,renewbuy,deny
UP872568,renewbuy,deny
UP83P0788,renewbuy,deny
MH03BC8382,renewbuy,deny
MH04JK7586,renewbuy,deny
MH11CH5561,renewbuy,deny
OD33U5457,renewbuy,deny
OD02AD6575,renewbuy,deny
UP65AR3686,renewbuy,deny
TN18B2835,renewbuy,deny
UP16AS9207,renewbuy,deny
HR51Y2822,renewbuy,deny
TN22DB9270,renewbuy,deny
UP66E2504,renewbuy,deny
PB05AJ5398,renewbuy,deny
TN01BC0810,renewbuy,deny
TN19AY9083,renewbuy,deny
TN12AC9165,renewbuy,deny
TN31AB0142,renewbuy,deny
TN58AZ9604,renewbuy,deny
MH04JK1991,renewbuy,deny
UP78DT9759,renewbuy,deny
JH16B5197,renewbuy,deny
TN18B8697,renewbuy,deny
TN02AQ2847,renewbuy,deny
JK153045,renewbuy,deny
MH46BB1268,renewbuy,deny
MH14GD6755,renewbuy,deny
MH04HN3402,renewbuy,deny
MH47C7388,renewbuy,deny
TN18D1323,renewbuy,deny
TN20CL1130,renewbuy,deny
TN91Y6980,renewbuy,deny
TN20CK7716,renewbuy,deny
TN04AR0316,renewbuy,deny
TN18E8779,renewbuy,deny
OR02BH2793,renewbuy,deny
TN74AM5950,renewbuy,deny
UK02TA1911,renewbuy,deny
HR51AN4432,renewbuy,deny
TN14F7349,renewbuy,deny
DL9CN6596,renewbuy,deny
DL8CQ7480,renewbuy,deny
TN10BB7012,renewbuy,deny
TN12R9349,renewbuy,deny
KA07B1643,renewbuy,deny
OD18A7452,renewbuy,deny
TN03Z5882,renewbuy,deny
TN09CF5946,renewbuy,deny
MH31EQ0813,renewbuy,deny
TN85E9385,renewbuy,deny
TN01U0254,renewbuy,deny
TN60F2848,renewbuy,deny
HR29AU7062,renewbuy,deny
TN22CA4578,renewbuy,deny
WB34N9599,renewbuy,deny
JH02S9919,renewbuy,deny
JH01AB9670,renewbuy,deny
DL9CS3178,renewbuy,deny
DL7CG5221,renewbuy,deny
JK05B4930,renewbuy,deny
OD01P8938,renewbuy,deny
OD20A0006,renewbuy,deny
JK01L6178,renewbuy,deny
OD02X1468,renewbuy,deny
MH04BW6050,renewbuy,deny
HR10R2020,renewbuy,deny
MH12DQ2727,renewbuy,deny
JK05C9781,renewbuy,deny
HR45B9296,renewbuy,deny
OR19J6424,renewbuy,deny
UP24V0067,renewbuy,deny
UP74C2784,renewbuy,deny
AS15AC3455,renewbuy,deny
TN09CH4123,renewbuy,deny
DL1ZC6145,renewbuy,deny
HR29AA1908,renewbuy,deny
DL9CAL2168,renewbuy,deny
OR02BR0211,renewbuy,deny
TN18H4497,renewbuy,deny
TN22BP3758,renewbuy,deny
TN59AH5652,renewbuy,deny
MH12KN8141,renewbuy,deny
MH03BC2672,renewbuy,deny
TN85H2674,renewbuy,deny
UK026666,renewbuy,deny
TN20CW9514,renewbuy,deny
TN22BP8407,renewbuy,deny
HP02C0414,renewbuy,deny
TN02AP8611,renewbuy,deny
TN05AF9007,renewbuy,deny
TN14T8061,renewbuy,deny
TN85H6624,renewbuy,deny
TN14J1861,renewbuy,deny
TN10Z5052,renewbuy,deny
DL3CBM4505,renewbuy,deny
MH13BN1927,renewbuy,deny
PB13AL1551,renewbuy,deny
JK05C4119,renewbuy,deny
JK070930,renewbuy,deny
MH48P3404,renewbuy,deny
MH43AL4760,renewbuy,deny
OD02AS7698,renewbuy,deny
OD19F7094,renewbuy,deny
TN19X9727,renewbuy,deny
PB01A9240,renewbuy,deny
DL1CP5568,renewbuy,deny
TN19J8653,renewbuy,deny
TN07CS3799,renewbuy,deny
TN02AQ9208,renewbuy,deny
TN02AQ9258,renewbuy,deny
TN07CS3771,renewbuy,deny
TN05BY4664,renewbuy,deny
HR55J5588,renewbuy,deny
HR29Y6917,renewbuy,deny
TN12U8970,renewbuy,deny
MH14AM0300,renewbuy,deny
JK05B5624,renewbuy,deny
HR25E9467,renewbuy,deny
OD081153,renewbuy,deny
JK05C9909,renewbuy,deny
TN22BM4321,renewbuy,deny
TN18Z2964,renewbuy,deny
PB02AW1881,renewbuy,deny
KL65Q3597,renewbuy,deny
TN22BM8583,renewbuy,deny
TN07BF7728,renewbuy,deny
DL3CAW9729,renewbuy,deny
TN05AH8488,renewbuy,deny
HR39B4107,renewbuy,deny
HR66A5093,renewbuy,deny
JK05B6021,renewbuy,deny
JK05D1622,renewbuy,deny
PB03R7444,renewbuy,deny
MH48F2784,renewbuy,deny
UA06F9192,renewbuy,deny
OR22F7319,renewbuy,deny
TN04AF1752,renewbuy,deny
OD14H7102,renewbuy,deny
OR21C9521,renewbuy,deny
TN22CZ5209,renewbuy,deny
TN52X1720,renewbuy,deny
OD01F1890,renewbuy,deny
GJ13F9255,renewbuy,deny
TN18C4453,renewbuy,deny
OR02BL2081,renewbuy,deny
TN34F0001,renewbuy,deny
PB67C0411,renewbuy,deny
TN01AP2502,renewbuy,deny
KL43E4899,renewbuy,deny
OR25C2181,renewbuy,deny
OR05AP1000,renewbuy,deny
GJ19A8162,renewbuy,deny
JK05A1436,renewbuy,deny
HR26BP7970,renewbuy,deny
PB09C7474,renewbuy,deny
TN22CX8058,renewbuy,deny
TN02BA8690,renewbuy,deny
UK022596,renewbuy,deny
UK02TA0542,renewbuy,deny
PB09X4611,renewbuy,deny
TN22BP1758,renewbuy,deny
TN22BP4088,renewbuy,deny
DL4CAP3811,renewbuy,deny
WB72U2610,renewbuy,deny
MH12DT4944,renewbuy,deny
MH11BD5720,renewbuy,deny
MH12KN7947,renewbuy,deny
OD01N6155,renewbuy,deny
HP01C0910,renewbuy,deny
PB02AV0038,renewbuy,deny
TN49AH3125,renewbuy,deny
UP32JV9985,renewbuy,deny
UP14BQ5859,renewbuy,deny
OD05AE7423,renewbuy,deny
MH11AW5282,renewbuy,deny
OR19H5409,renewbuy,deny
TN10AU4594,renewbuy,deny
TN10BB5574,renewbuy,deny
TN12M2046,renewbuy,deny
HR01AD6264,renewbuy,deny
MH01CJ6806,renewbuy,deny
OR02BF1345,renewbuy,deny
DL9CAB3123,renewbuy,deny
MH14HG8656,renewbuy,deny
MH04CM6938,renewbuy,deny
UK04TA6912,renewbuy,deny
MH12NB3073,renewbuy,deny
TN12S1614,renewbuy,deny
AS01DB5612,renewbuy,deny
HP861995,renewbuy,deny
PB41B4560,renewbuy,deny
HP72C4201,renewbuy,deny
MH12KN7637,renewbuy,deny
OD33B5557,renewbuy,deny
TN11F3916,renewbuy,deny
TN01U9799,renewbuy,deny
DL1CL5284,renewbuy,deny
MH14CX8798,renewbuy,deny
JK03C2078,renewbuy,deny
TN01T7386,renewbuy,deny
OD01R0593,renewbuy,deny
OR02BS1626,renewbuy,deny
OR02BB4834,renewbuy,deny
HR46D4477,renewbuy,deny
TN11E8654,renewbuy,deny
KA41A9954,renewbuy,deny
MH11CQ3148,renewbuy,deny
UP62BP7447,renewbuy,deny
MH10BA2386,renewbuy,deny
TN57AS8204,renewbuy,deny
TN45AP5791,renewbuy,deny
OD23D3828,renewbuy,deny
MH12KN8967,renewbuy,deny
OD05AQ4382,renewbuy,deny
HR29AH7847,renewbuy,deny
TN22DF5263,renewbuy,deny
KA52A1931,renewbuy,deny
DL8CS3095,renewbuy,deny
MH43V4031,renewbuy,deny
OR02BC4112,renewbuy,deny
PB01B0430,renewbuy,deny
TN18F1496,renewbuy,deny
TN18AE4809,renewbuy,deny
OR19J2102,renewbuy,deny
DL3CAY1080,renewbuy,deny
OD07A8847,renewbuy,deny
OD02H7189,renewbuy,deny
OR02BT0107,renewbuy,deny
OD02H6681,renewbuy,deny
OD02BG1980,renewbuy,deny
